CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,GROSS BUILDING FLOOR AREA (ft²),NUMBER OF BUILDINGS,OCCUPANCY,POSTAL CODE,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
130.2,-38.8,-38.8,97547.0,1.0,95.0,91325,Multifamily Housing,18.9,53.1,5020.2,1985.0
107.3,-43.4,-43.4,63821.0,1.0,95.0,91605,Multifamily Housing,24.9,59.3,6224.5,1985.0
39.1,3.0,3.0,10500.0,1.0,100.0,91042,Library,52.8,148.0,93.2,1995.0
251.4,48.7,48.7,68230.0,1.0,100.0,90068,Multifamily Housing,58.7,118.9,4323.1,1928.0
107.5,-15.0,-15.0,48388.0,1.0,95.0,90036,Multifamily Housing,36.2,68.0,1372.9,2005.0
775.0,-11.3,-11.3,150962.0,1.0,60.0,90024,Hotel,77.7,174.4,8073.5,1972.0
275.6,-25.2,-25.2,201000.0,1.0,95.0,90017,Multifamily Housing,18.1,56.8,4819.0,2008.0
4.7,-83.1,-83.1,12400.0,1.0,100.0,90023,Other,5.4,15.1,23.9,1943.0
1105.6,35.2,35.2,423801.0,1.0,100.0,90017,Multifamily Housing,37.0,98.1,10547.5,1926.0
16.1,-82.9,-82.9,34112.0,1.0,100.0,90020,Mixed Use Property,13.5,25.5,891.8,1957.0
133.0,-41.2,-41.2,98324.0,1.0,95.0,90057,Multifamily Housing,17.8,56.0,5.9,1969.0
52.4,-26.7,-26.7,30632.0,1.0,95.0,91402,Multifamily Housing,25.4,63.3,2561.3,1985.0
179.3,-28.3,-28.3,80000.0,2.0,100.0,90038,Multifamily Housing,39.7,54.8,1553.7,2015.0
1027.6,204.1,204.1,115419.0,1.0,100.0,90027,Office,126.4,353.9,7936.1,1989.0
370.8,-31.3,-31.3,148782.0,1.0,95.0,91601,Multifamily Housing,40.4,77.3,5258.1,2010.0
73.8,-13.6,-13.6,27750.0,2.0,100.0,91405,Multifamily Housing,41.1,83.6,1809.5,1985.0
