CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
130.2,-38.8,-38.8,97547,1,95,91325,Multifamily Housing,18.9,53.1,5020.2,1985
107.3,-43.4,-43.4,63821,1,95,91605,Multifamily Housing,24.9,59.3,6224.5,1985
39.1,3,3,10500,1,100,91042,Library,52.8,148,93.2,1995
251.4,48.7,48.7,68230,1,100,90068,Multifamily Housing,58.7,118.9,4323.1,1928
107.5,-15,-15,48388,1,95,90036,Multifamily Housing,36.2,68,1372.9,2005
775,-11.3,-11.3,150962,1,60,90024,Hotel,77.7,174.4,8073.5,1972
275.6,-25.2,-25.2,201000,1,95,90017,Multifamily Housing,18.1,56.8,4819,2008
4.7,-83.1,-83.1,12400,1,100,90023,Other,5.4,15.1,23.9,1943
1105.6,35.2,35.2,423801,1,100,90017,Multifamily Housing,37,98.1,10547.5,1926
16.1,-82.9,-82.9,34112,1,100,90020,Mixed Use Property,13.5,25.5,891.8,1957
133,-41.2,-41.2,98324,1,95,90057,Multifamily Housing,17.8,56,5.9,1969
52.4,-26.7,-26.7,30632,1,95,91402,Multifamily Housing,25.4,63.3,2561.3,1985
179.3,-28.3,-28.3,80000,2,100,90038,Multifamily Housing,39.7,54.8,1553.7,2015
1027.6,204.1,204.1,115419,1,100,90027,Office,126.4,353.9,7936.1,1989
370.8,-31.3,-31.3,148782,1,95,91601,Multifamily Housing,40.4,77.3,5258.1,2010
73.8,-13.6,-13.6,27750,2,100,91405,Multifamily Housing,41.1,83.6,1809.5,1985
9089.6,-18.6,-18.6,756397,1,100,90027,Hospital (General Medical & Surgical),164.9,473,58579.9,1967
23,-75.4,-75.4,29580,1,95,91423,Multifamily Housing,13.6,19.9,708.3,1963
840.3,-10.3,-10.3,120000,1,100,90028,Office,94.2,282.9,5733.4,1924
514.2,-14.2,-14.2,116961,1,100,91402,Medical Office,66.1,158.8,4263,1969
791.6,6.2,6.2,232500,1,100,91352,Distribution Center,39.2,123.2,797.8,2012
39.6,-38.1,-38.1,55564,1,100,90057,Self-Storage Facility,9.4,29.5,51,2010
5,-91.6,-91.6,26692,1,85,91604,Mixed Use Property,2.7,7.5,1271.7,1986
174,-13.3,-13.3,82491,1,100,90017,Multifamily Housing,34.2,65.5,2521.7,2007
1013.3,133.1,133.1,60930,1,100,91601,Strip Mall,265.7,533.3,10898.4,1980
133.8,-3.1,-3.1,60000,6,100,91343,K-12 School,32.6,84.7,1446.5,1963
300.9,-15.2,-15.2,110745,4,90,90036,Multifamily Housing,45.1,79.7,3479.5,2002
